kp_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
K1,0.056257435936754925,-0.1920038065448058,0.13854970028515093,0.17364881325127388,-0.3602037576118231,-0.24041081072481835,0.023602133812480816,-0.05838529758023402,-0.0031018610532844958,-0.1574905618857441,0.16235609527902786,0.14359739865839388,0.012190710612293237,0.20811337532303908,0.08631244724704804,-0.15864417813582413,0.06807945793149339,-0.1770306952615834,0.16218113401862325,-0.00921741485956993,-0.0341296345536186,-0.12571448325975026,0.2257078634906702,-0.028529521367267996,-0.0790786818864568,-0.06501155325372122,0.09827591524881765,0.0674689651659754,0.0761994650072883,0.07953897758687088,0.39539497688206865,-0.07503309878927197,-0.09457120860450043,-0.1502402397770993,0.11372327055584514,0.20843297160533794,-0.021037192284532602,-0.1551112567029705,-0.15221726071340508,0.12011365464469224,0.13722097217163112,0.10027815466589425,-0.12286764415455373,0.04286205673125979,0.021542751846247522,0.040374696851571426,0.16088480727228413,0.04128062749574942,0.1253422890239408,0.012476573927200522
K10,0.05223665016825318,0.11405800633884422,-0.2632716419144638,-0.05775660012222765,-0.08498458388588453,-0.115429261440595,-0.04971132891447802,0.2700985359365515,-0.15643404524285598,0.1749437011264758,-0.30405251234243197,-0.060505356047414575,0.029405411619637653,0.10591572541580983,0.12850086921645779,0.1433380194302577,-0.063005905817732,-0.08353541463324993,0.1550148006847708,-0.03456391075726513,-0.23048463886742526,-0.20475667840445363,-0.16612205070946245,0.08982452226379993,0.025732771248779616,0.12475344805699458,-0.07719387602930533,0.02864416022612649,0.1130285505101375,-0.05589118907048117,0.08252787048506624,-0.11959347583544992,-0.06559475725665069,-0.06897049770824398,-0.21605833958911916,0.08798375769880176,-0.0848092723782304,0.0022573750225547847,0.08685890727018335,0.08067702456902943,0.12021846103051038,-0.01779386587091674,-0.07647942664259746,-0.014403088530291867,-0.3048591652545054,-0.26145706001947167,-0.2389787653173982,-0.1801775802691012,0.0722292122986472,-0.16359743712749503
K11,-0.05373450998717523,0.18461213358458065,-0.05062285968450721,0.10479630321981585,-0.13266117444687192,-0.029191379175605037,-0.1349921324899664,-0.04817445833376706,0.11940247790849702,-0.24544132024614249,0.06172885539150564,0.03378072725968604,-0.08442495531946204,-0.20547568602092733,0.010249147387071125,-0.0752375690279524,0.03306181976313588,0.0031050518337369304,0.2276026616426041,-0.03401092259810615,-0.14543252802711362,0.025473935200929335,0.0312601390215778,0.1931319681339848,0.11866403245024924,0.05070912306670558,0.20792609681367286,-0.16891572032338936,-0.09090465134279603,-0.1316605878755129,-0.055389510508199735,-0.19561840471747216,0.09025093714436744,-0.03157644142467704,-0.20899228301943698,-0.14430737178760608,0.04454833718193977,0.11909249065508085,0.28372284589060043,0.41404144886491573,0.05888496254663331,-0.1406071157114206,-0.30295030785396915,0.03804010760276847,-0.11551379410344217,-0.059019642762001966,-0.08697508838691449,-0.020005495550615773,0.1514690567470191,0.022315609321234987
K12,-0.023525712750520397,-0.15358853800843517,-0.24835723754487682,-0.07211997308242687,-0.00797600870755454,0.2621858608509123,0.019319848200399774,0.14574130043879857,-0.07404606105509175,-0.17572840363840148,-0.1431278283057945,-0.10755178617731678,0.3156542942155547,-0.12181250621402932,0.12434882854075098,-0.1339050477363481,0.13815325508653178,0.05708863211069576,-0.023229564545465722,-0.006045125388277264,-0.09710570214466965,0.06615297543691705,-0.06747452744014078,-0.18175862050237115,-0.1895194829065698,0.02559496925351148,0.23418088988933863,0.023726924133965693,-0.017594188220983086,0.04238831635222492,0.19368142837112687,0.0325346550979721,-0.060940939420535904,0.16406377626665536,0.06358502961568333,0.22775422471532394,0.027173859264182403,-0.18159004194733674,-0.2028994445311258,0.24483434427464854,0.2556214346233229,-0.026622887656485406,-0.05682708171149139,0.21673372168430174,-0.1641760360059332,-0.1326889555347208,0.09540603854168786,-0.05852035368507651,-0.0007595782077392028,-0.02423875331281981
K13,0.041542258283507605,0.1732061117168889,0.01114746835177194,0.07924374560894606,-0.25229620908832345,-0.0059953347885422364,-0.10376875213374807,-0.14998834223603846,-0.10806629992996365,-0.041117561503236234,0.1127118739029622,-0.1632272014040966,0.0037695418137833857,-0.05958236995083136,-0.04032377549484187,0.12340037103752136,0.06622101858654779,0.1645815355598758,-0.019013621899236093,-0.08564338700114264,-0.027548287698161686,0.029841895284324658,0.02172929235621808,-0.13344587006499978,0.011135762141364455,0.028086004326976655,0.30980284817487763,0.23096635654932668,-0.10500097170747341,-0.0353656810749953,-0.18009262202837684,-0.07269299012991293,0.03883866429316157,0.1483935407727637,-0.08972177910223905,-0.08049990873192062,-0.26424751451234835,-0.020017829274285706,-0.1307417696583476,-0.06515334024844968,-0.10790735573792314,-0.011600043276826684,-0.21630779656165297,-0.18053604074851054,0.2620272582515606,-0.1584314978175713,-0.13497151945814248,0.2260523979354997,0.35750044280561155,-0.14417414957425956
K14,-0.05953372776561881,0.055218283206794894,0.2794734731871865,-0.1595422867267991,-0.039653349284734705,0.1256698838712096,0.07028735490463645,-0.060812047744340916,-0.02163476580565568,-0.222275369020813,-0.03850484997535992,-0.04306608346887546,0.03753422446852823,-0.08977812117751564,0.07623224863163244,0.16372279321004546,0.025127803106130584,0.056867425885212125,0.008593468993339617,1.3643583333877096e-05,-0.11665216898567299,0.05116669814406296,-0.015728038758642374,0.3383963755346751,0.2543596681431451,0.062378679411775294,-0.12336121896391361,-0.17984029693947715,0.192568584355682,0.042477895869616936,0.07762337445650291,-0.2820420948864203,0.14993625660757953,0.07346480202518701,-0.17952006882825763,-0.07623003135245683,0.04263438622667515,0.008482153262072056,-0.047234457874103734,-0.016730644484950114,-0.0407364429979851,0.02466433344976283,0.2378917873755002,-0.41494413513759654,-0.03829088693563047,0.02853624497105165,0.04785247935524887,-0.06012633852263896,-0.28400405331823586,0.0530260669469545
K15,0.2284955509608017,-0.20290066481012342,0.11426800211493267,-0.0434576331113656,-0.008112043563935512,-0.13927842966431528,-0.04424218479150458,0.17197115182753298,0.0770741969095133,0.22915184857603682,0.1557491793347384,0.05808280903250916,0.23068933973478442,0.05807043809148245,0.10952707395113737,-0.039230691536211205,0.00880274465143279,-0.09225589544694296,0.13090311652094228,-0.15586713878575928,0.10349005723867868,-0.025219505615414382,0.1549336942436706,0.0993256734347569,0.24083682827310593,0.09666758038452009,-0.20795099997822697,-0.00885663023311733,-0.1550342408887562,-0.06855855700962277,0.19990675351047948,0.0843335868908876,-0.09245519064508023,-0.1340955101426325,0.004336446837466512,-0.16092774894771517,-0.08877908266559598,0.041272913577393204,0.15282578949954237,0.08052755420355696,-0.3030939842915167,0.04026192423147831,0.009528670485282775,0.054749805811277044,0.21379377421489862,-0.2729271475790631,-0.0781917307250936,0.07816565782997337,-0.20921483132742236,0.195239962434741
K16,0.054622662870796555,0.12553778066180163,-0.08466377978903437,0.12067094267055159,0.15844092267525717,0.03453288781952246,0.03475871070868858,0.040088509638579385,-0.12802326797179162,-0.021876651827860454,-0.022617177439177898,0.05685249857678322,0.14826138824718177,-0.15696761656744698,-0.018537270361155295,0.21968126578362018,-0.11026480246773326,-0.12192935851121624,0.029999469351321438,0.1252117269045854,0.0016943406452161933,0.19706817740504393,0.12705179504267627,0.12483135126713328,0.0821685231087943,0.3451617432579929,-0.030422903725743695,-0.2970972121589367,0.2378907887812683,-0.06787108158589446,0.015997316020738544,0.1941899319980077,-0.23759498194186338,-0.18560357396067773,-0.2374494223964596,-0.11776044557879146,0.06519259133171122,0.07773047864950385,0.04096799361555919,-0.2094954506868765,-0.3425593483736254,0.008059954588111557,-0.06995846510536209,0.06812114475737316,0.10409091340835061,0.02049946947539626,0.11271819706183725,0.033989170230028634,0.07860194364776009,-0.10449420139251103
K17,-0.026507507031381102,0.029040714364826425,0.12109566907582658,-0.05810931871557402,0.07691518262201291,-0.0392331617216887,-0.0173471705414997,0.12242251964984198,-0.29414089379230657,-0.19133666741625294,-0.21874467221439228,-0.34440097311114687,-0.10009998269608919,0.11060335166243772,-0.042043911529200936,0.02919036087946435,0.16074947486275906,0.1959432796379944,-0.010203551387931466,0.19976563137021924,0.013596285414864184,-0.12358534924179013,-0.08772310834404075,-0.21850132561096677,-0.13107304191004046,-0.05283700892967711,0.11859511095146211,0.2539555667760782,-0.20398584619951798,0.05797447197197913,-0.15356610805124885,0.07005699772522236,-0.019346099675412228,-0.27020971561412893,0.13700041944050267,-0.08928753639129342,-0.07879434842611484,-0.1578767682921706,-0.09656078189766347,0.06314915418473643,-0.02792915879348332,0.048504770106791335,0.05341334319004733,0.19490658958254253,-0.05058924770128464,-0.21795841438631183,0.15750338526857333,-0.04892186340080263,0.16449437389030963,0.056579764651766284
K18,-0.018167874049792025,0.04831962676749476,0.2702944794443962,0.2877461592970927,0.009612105112619942,0.022192903273633918,0.14910297302273648,-0.11715839934083434,0.04614377417404961,-0.003583054854441657,0.043489036587108516,-0.11545542668095929,-0.22021965769296117,-0.2871923995670483,-0.15480308191373862,-0.06354515594131357,-0.04061894265077079,0.2683851961355143,0.15322500136477565,-0.13328869469338725,0.04817174275267809,-0.056396869111048215,-0.039395940931760284,0.025675129397005315,0.08578034717471796,-0.04700107891288449,0.1473866453365844,-0.15820482384431042,0.0008782175965407392,0.3598833149752517,0.030905604679236535,0.19855841879879788,0.012679261745185438,0.0804612158136151,-0.007866778658036392,-0.023608371050761256,-0.10798997042096363,0.05961421479322453,-0.11797248566334785,0.09221058780040227,0.15035632876473404,0.05077948647998229,-0.03965707551521079,0.062892670428003,-0.04276375486892188,0.12961127387972013,-0.2537241247448359,-0.04649525109026515,-0.27580831763526237,-0.20712664649263415
